Attack / Operation / Campaign,Year of attack,IoC Class,IoC Type,IoC Subtype,Indicator,Source of info
,,General,Software,,Emotet,https://attack.mitre.org/groups/G0102/
,,General,Software,,Empire,https://attack.mitre.org/groups/G0102/
,,General,Software,,GrimAgent,https://attack.mitre.org/groups/G0102/
,,General,Software,,LaZagne,https://attack.mitre.org/groups/G0102/
,,General,Software,,Mimikatz,https://attack.mitre.org/groups/G0102/
,,General,Software,,Net,https://attack.mitre.org/groups/G0102/
,,General,Software,,Nltest,https://attack.mitre.org/groups/G0102/
,,General,Software,,Ping,https://attack.mitre.org/groups/G0102/
,,General,Software,,PsExec,https://attack.mitre.org/groups/G0102/
,,General,Software,,Rubeus,https://attack.mitre.org/groups/G0102/
,,General,Malware,,Ryuk,https://attack.mitre.org/groups/G0102/
,,General,Malware,,TrickBot,https://attack.mitre.org/groups/G0102/
,,General,Malware,,Emotet,
,,MITRE Software ID,,,S0552,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0504,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0534,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0190,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0521,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0154,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0575,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0659,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0024,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0367,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0363,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0632,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0349,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0002,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0039,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0359,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0097,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0029,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S1071,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0446,https://attack.mitre.org/groups/G0102/
,,MITRE Software ID,,,S0266,https://attack.mitre.org/groups/G0102/
,,Host,cmd line,,"net group ""Domain admins"" /DOMAIN",https://attack.mitre.org/groups/G0102/
,,Host,cmdlet,,Get-ADComputer,https://attack.mitre.org/groups/G0102/
,,Host,cmdlet,,Invoke-Inveigh,https://attack.mitre.org/groups/G0102/
,,Host,cmdlet,,Invoke-WCMDump,https://attack.mitre.org/groups/G0102/
,,Host,cmdlet,,Find-GPOPassword,https://attack.mitre.org/groups/G0102/
,,Host,cmdlet,,Get-GPPPassword,https://attack.mitre.org/groups/G0102/
,,Host,cmdlet,,Invoke-SMBExec,https://attack.mitre.org/groups/G0102/
,,Host,Programming language,,PowerShell,https://attack.mitre.org/groups/G0102/
,,Host,cmd line,,cmd.exe,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,net view,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,net view /all,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,net view /all /domain,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,nltest /domain_trusts /all_trusts,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,"net localgroup ""administrator""",https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,"net group ""domain admins"" /dom",https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,"AdFind.exe -f ""(objectcategory=person)""",https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,"AdFind.exe -f ""(objectcategory=computer)""",https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,"AdFind.exe -f ""(objectcategory=organizationalUnit)""",https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,AdFind.exe -sc trustdmp,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,"AdFind.exe -subnets -f ""(objectCategory=subnet)""",https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,"AdFind.exe -f ""(objectcategory=group)""",https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,AdFind.exe -gcb -sc trustdmp,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,vssadmin,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,cmd line,,vssadmin.exe Delete Shadows /All /Quiet,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Host,File,Folder,C:\PerfLogs\1\,https://attack.mitre.org/groups/G0102/
,,Host,File,Folder,C:\User\1\,https://attack.mitre.org/groups/G0102/
,,Host,Registry,Registry Key,\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,https://attack.mitre.org/groups/G0102/
,,Host,Registry,Registry parameter,\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,https://attack.mitre.org/groups/G0102/
,,Host,Registry,Registry parameter,\System\CurrentControlSet\Control\SecurityProviders\WDigest,https://attack.mitre.org/groups/G0102/
,,Host,Certificate,CA,DigiCert,https://attack.mitre.org/groups/G0102/
,,Host,Certificate,CA,GlobalSign,https://attack.mitre.org/groups/G0102/
,,Host,Certificate,CA,COMODO,https://attack.mitre.org/groups/G0102/
,,Network,IP address,,5.2.70.149,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Network,IP address,,34.222.33.48,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Network,Domain,,dghns.xyz,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Network,IP address,,45.153.240.240,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Network,Domain,,checktodrivers.com,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Network,IP address,,108.62.12.121,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Network,Domain,,topservicebooster.com,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Network,IP address,,161.117.191.245,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
,,Network,Domain,,chaseltd.top,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/
